iteration,particle_idx,error,MIGRATION_FRACTION,KDIV
0,0,78.43347305850472,0.5765287313352779,0.2722576892029145
0,1,73.41642715318328,0.5860217493076191,0.2669682052123311
0,2,53.29255451253007,0.437320257404174,0.2416932217983987
0,3,47.19297114845083,0.5000466267331423,0.24011855843984412
0,4,59.45806609295042,0.5796270284725695,0.2271603192062679
0,5,67.35977873951839,0.5079558466015274,0.2897690316067697
0,6,61.06016655699034,0.5272853177106094,0.25117630752321596
0,7,56.34715283731996,0.5454264125763773,0.22893388527082764
0,8,59.77913461329528,0.5474044084416744,0.25139946714135714
0,9,55.7131910559106,0.5028653297413601,0.2571858884110922
0,10,72.29425611692075,0.4866268349404916,0.2859137752707216
0,11,64.98008205710421,0.5041606226781806,0.27694985848564935
0,12,33.11652939976557,0.3732986642667072,0.2700146072131803
0,13,65.29837623810717,0.5479650829056936,0.24290049347423726
0,14,50.3420172527783,0.443303685368778,0.26635894877086297
0,15,62.350678989466154,0.5129821602587764,0.2563191981391182
0,16,53.05841217196553,0.5121614695589923,0.23906925712526766
0,17,63.15876039669082,0.5251734658951747,0.22868041788432011
0,18,68.42642944082485,0.5553845288281503,0.2716861998101875
0,19,69.57291972460209,0.4555667105413411,0.2796797262441461
0,20,70.10523231212453,0.5333822361144722,0.26017137746773017
0,21,46.31129082890871,0.5213896777945213,0.22501679206059938
0,22,58.86728768263105,0.5431475360163104,0.242315823623654
0,23,58.85930236960833,0.4982293199152137,0.26751038842992947
0,24,54.57643766709414,0.5323059868714308,0.23739434380641908
1,0,72.42599224202132,0.5738969605634151,0.2650450327151293
1,1,92.63519993968974,0.642986529893675,0.2950819489093563
1,2,71.6304179181977,0.5168112093444794,0.26974439878677525
1,3,49.429378636353384,0.4909225641765446,0.20772621555028642
1,4,82.78370721339081,0.6618770324066365,0.22820633976073296
1,5,77.33265912351582,0.5186690625109449,0.31035198238377076
1,6,56.80514057937512,0.4822002158806875,0.2736608133255809
1,7,37.04733769597712,0.5130884361950072,0.193217879380343
1,8,57.794427988166895,0.4670317576654529,0.27379183799854373
1,9,41.77134170674423,0.44769122240436376,0.26324181239340083
1,10,54.832823743644326,0.47096711061683455,0.2622061720612664
1,11,71.16066433857347,0.5227493315297532,0.29662953250088914
1,12,43.712359150470476,0.4392564121093412,0.25299899537348014
1,13,50.391713867838654,0.5402274773725266,0.2126462669068799
1,14,45.684964255216464,0.4148827511989393,0.2923097316316757
1,15,80.36701880663465,0.5739639074695538,0.2916382975276194
