iteration,particle_idx,error,old_error_ctrl,MIGRATION_FRACTION,KDIV
0,0,190.82070690577171,78.43347305850472,0.5765287313352779,0.2722576892029145
0,1,185.3446041328311,73.41642715318328,0.5860217493076191,0.2669682052123311
0,2,165.41301488185957,53.29255451253007,0.437320257404174,0.2416932217983987
0,3,158.77685683998445,47.19297114845083,0.5000466267331423,0.24011855843984412
0,4,171.29690134020157,59.45806609295042,0.5796270284725695,0.2271603192062679
0,5,177.72611175988598,67.35977873951839,0.5079558466015274,0.2897690316067697
0,6,173.64065005590464,61.06016655699034,0.5272853177106094,0.25117630752321596
0,7,168.63978972028124,56.34715283731996,0.5454264125763773,0.22893388527082764
0,8,171.97086732011869,59.77913461329528,0.5474044084416744,0.25139946714135714
0,9,164.14483687997816,55.7131910559106,0.5028653297413601,0.2571858884110922
0,10,184.88688971626584,72.29425611692075,0.4866268349404916,0.2859137752707216
0,11,177.62501858330995,64.98008205710421,0.5041606226781806,0.27694985848564935
0,12,144.5859182558191,33.11652939976557,0.3732986642667072,0.2700146072131803
0,13,177.4271763428991,65.29837623810717,0.5479650829056936,0.24290049347423726
0,14,159.52788150259917,50.3420172527783,0.443303685368778,0.26635894877086297
0,15,173.76713415766216,62.350678989466154,0.5129821602587764,0.2563191981391182
0,16,164.58187609582006,53.05841217196553,0.5121614695589923,0.23906925712526766
0,17,175.5818801187835,63.15876039669082,0.5251734658951747,0.22868041788432011
0,18,180.67203844758663,68.42642944082485,0.5553845288281503,0.2716861998101875
0,19,181.26851473193207,69.57291972460209,0.4555667105413411,0.2796797262441461
0,20,182.60116933799517,70.10523231212453,0.5333822361144722,0.26017137746773017
0,21,158.29752151701976,46.31129082890871,0.5213896777945213,0.22501679206059938
0,22,170.7346182595384,58.86728768263105,0.5431475360163104,0.242315823623654
0,23,170.95570093206456,58.85930236960833,0.4982293199152137,0.26751038842992947
0,24,167.03311681481833,54.57643766709414,0.5323059868714308,0.23739434380641908
1,0,184.91018873850757,72.42599224202132,0.5738969605634151,0.2650450327151293
1,1,204.97198602172645,92.63519993968974,0.642986529893675,0.2950819489093563
1,2,184.30875503817583,71.6304179181977,0.5168112093444794,0.26974439878677525
1,3,160.33498724626375,49.429378636353384,0.4909225641765446,0.20772621555028642
1,4,195.14283450962142,82.78370721339081,0.6618770324066365,0.22820633976073296
1,5,189.5331663360719,77.33265912351582,0.5186690625109449,0.31035198238377076
1,6,167.73433927577133,56.80514057937512,0.4822002158806875,0.2736608133255809
1,7,148.31294116808297,37.04733769597712,0.5130884361950072,0.193217879380343
1,8,169.69985093653113,57.794427988166895,0.4670317576654529,0.27379183799854373
1,9,150.82664157541154,41.77134170674423,0.44769122240436376,0.26324181239340083
1,10,166.34970567784097,54.832823743644326,0.47096711061683455,0.2622061720612664
1,11,182.04539825392482,71.16066433857347,0.5227493315297532,0.29662953250088914
