iteration,particle_idx,error,MIGRATION_FRACTION,KDIV
0,0,31.323755852387414,0.15660667335455825,0.0006606673354558259
0,1,24.2244634233978,0.15802924063830062,0.015969590730496728
0,2,36.71137427962689,0.12691427133760966,0.028024760467094293
0,3,27.10014266286102,0.13877208045460923,0.04437720804546092
0,4,24.024753318902242,0.121748426311563,0.05784150929782296
0,5,35.25433533454683,0.10251975113524017,0.07108530844685734
0,6,22.013203916384725,0.1341457031087408,0.08941457031087408
0,7,17.453730349566072,0.11874147425015032,0.10304081409168168
0,8,27.023502187573246,0.09335491614366503,0.11566882494769982
0,9,14.630865401922323,0.09042438027788796,0.13054243802778878
0,10,27.850824319559315,0.07318040986002736,0.14398470765266938
0,11,39.26121004135202,0.06748624376793069,0.1585819577101264
0,12,15.151424598632435,0.06848450859699219,0.17384845085969922
0,13,19.903188261853643,0.08545037467486417,0.1907117041341531
0,14,33.39511799409922,0.06252386812885262,0.20358572014621856
0,15,21.812081210985994,0.04730456661092302,0.21723045666109228
0,16,22.03449368943222,0.0670672519904445,0.2343733918657111
0,17,25.12406275619722,0.06729725314000148,0.24956305864733347
0,18,31.209214398361173,0.060724996128405484,0.2640724996128405
0,19,31.03502218957371,0.056111362627075265,0.27877780292937415
0,20,20.935677551722748,0.024644975170115734,0.2907978308503449
0,21,26.137579414844144,0.03433675384748137,0.3069336753847481
0,22,29.945388807595794,0.040321184777972446,0.3226987851444639
0,23,28.047674255362143,0.018345836998268326,0.3356679170331601
0,24,34.034151124669656,0.01854397112042943,0.3508543971120429
1,0,22.14842695520418,0.14845771494836082,0.022907352472380942
1,1,29.742424941081904,0.14726904980272354,0.04287006781943942
1,2,23.76331650754247,0.1400221670455022,0.004844999386354028
1,3,22.266266032957535,0.1501798945637485,0.009493378370380168
1,4,22.503159763786755,0.11293218409105113,0.07988211484910264
1,5,20.1278959630864,0.12101942125318023,0.04101817483481507
1,6,22.561589096885307,0.12064689573379357,0.11477168837177554
1,7,21.207770262881663,0.11173107960833754,0.12056680069621362
1,8,29.48593793807397,0.07999923565717816,0.15339620871181162
1,9,21.427009821326628,0.10185364431289667,0.10196927794026701
1,10,14.157469393753054,0.06425756043798105,0.16629183120778515
1,11,16.584523934527695,0.056928350300061936,0.1835202488648453
1,12,31.155783151842947,0.08148193875676524,0.1413548754602666
1,13,20.37553374839758,0.07350686057053953,0.2205704893949647
1,14,32.38936800945811,0.07009126517558623,0.17783467819508758
1,15,31.36032708095866,0.03412782662336974,0.25017230662997547
1,16,23.079613976836352,0.08216228473780789,0.19663580999730262
1,17,25.93349098298783,0.05827762745175257,0.2721121228679558
1,18,21.98909336731239,0.05051816754431576,0.28828808045510423
1,19,19.031088049280694,0.06963612215502586,0.24496590410949765
1,20,21.276140262985948,0.03465153794733497,0.2657814239072968
1,21,27.61206746805467,0.022525808935453785,0.33646103766481705
1,22,40.22372324523077,0.02948377586236147,0.3440052844805049
1,23,31.900712916987835,0.0064468765960529854,0.3654153180386985
1,24,29.27384383942106,0.02667304345783693,0.3290556991095942
2,0,27.932981157191133,0.14193854822340288,0.040704700581921036
2,1,46.97342009907816,0.13182302718818698,0.06407644972678712
2,2,129.96297830168916,0.1540396055106436,0.48760389059185727
2,3,115.49981016720851,0.15930614585105993,0.48158631463031554
2,4,19.908847747349498,0.10425538051946401,0.10182923685701586
2,5,24.75826090515128,0.13581915734753228,0.01696446794518125
2,6,21.70142416032961,0.10655350256190224,0.1364497873495039
2,7,19.97729502673133,0.10612276389488733,0.13458758997983916
2,8,19.003673589488137,0.06931469126798867,0.18357811572310107
2,9,27.930082749962693,0.11099705554090364,0.0791107498702496
2,10,17.876788422150046,0.057119280900344,0.18413753005187777
2,11,36.406712634668196,0.04848203552576693,0.20347088178862044
2,12,24.879111408004952,0.09132255750047943,0.11695309164262936
2,13,22.386998312660122,0.0639520492870798,0.244457517603614
2,14,38.14797263748093,0.07292881514793216,0.15840571348890575
2,15,26.45913253127416,0.023597645598082105,0.2791275030094622
2,16,18.22898009716927,0.09411213906017797,0.1628508657592343
2,17,23.047279742402143,0.04312099092432946,0.2892918010713971
2,18,31.684930476212756,0.04235270467704398,0.3076605451289152
2,19,17.895336334054246,0.08045592977738635,0.21791638505359645
2,20,28.68124635054082,0.04265678816911036,0.24576829835285835
2,21,31.172049586024205,0.013077053005831717,0.3600829274888722
2,22,31.463254360598985,0.020623275699669548,0.3594818074503413
2,23,204.71263977005503,0.9969277082742807,0.38921323884312914
2,24,25.89026054712509,0.031907493600690826,0.312607549259691
3,0,31.040064404696096,0.13672321484343652,0.05494257906955311
3,1,15.637125169576793,0.11524449572593451,0.0858361865824958
3,2,118.55389383862149,0.1664277973676781,0.4733480199083345
3,3,104.05163125982948,0.16660714688090905,0.45926066363826384
3,4,23.613849265268648,0.09731393766219432,0.11938693446334644
3,5,119.94668644328884,0.14765894622301393,0.4977215024334742
3,6,25.70451839243996,0.0951162729220276,0.15313068905072885
3,7,29.166497727744584,0.10163611132412716,0.1458042214067396
3,8,24.663378813139577,0.05940514708620509,0.20788279515713434
3,9,25.217236892038628,0.1183117845233092,0.06082392741423567
3,10,33.642937417853034,0.051408657270234366,0.19841408912715186
3,11,26.798084551694657,0.04469403866405343,0.21594709077680613
3,12,26.98265619521407,0.10059250143648896,0.09162411551246562
3,13,23.691735461382446,0.056308200260312025,0.26356714017053345
3,14,20.35670323186905,0.08160306575412904,0.14316762315185821
3,15,23.554605908774718,0.0204830746474211,0.3051085874792986
3,16,19.463106010853902,0.10367202251807404,0.13582291036877964
3,17,25.361072334105348,0.03099568170239097,0.3030355436341502
3,18,27.455290273166923,0.03459866547622953,0.3238975529492467
3,19,16.049508183529657,0.08911177587527473,0.19627676980887548
3,20,23.151415673962426,0.050115005417257705,0.22932755258557017
3,21,33.83093559043209,0.005518048262134062,0.37898043934811637
3,22,36.966628119369396,0.012157233801434528,0.3720508592830289
3,23,187.2966718044019,0.7469277082742807,0.41211841319396003
3,24,25.09367762414248,0.03609505371497394,0.2994490293797684
4,0,20.73713264583976,0.13125955751333032,0.06661625525993675
4,1,21.362982892854895,0.10198167055613254,0.10324397606706273
4,2,108.60281411740576,0.17638817479677488,0.45700002370160137
4,3,107.82427895134752,0.17244794770478836,0.4414001428446225
4,4,22.832601456592815,0.09241217233011575,0.1370566691870259
4,5,118.38328619212751,0.15901083072384517,0.4788789715402847
4,6,35.1693897947486,0.08596648921012787,0.16647541041170882
4,7,17.904231150847792,0.09781040629738494,0.15490715613600273
4,8,30.901943057317247,0.05147751174077823,0.22732653870436098
4,9,19.281528506114523,0.12416356770923366,0.04619446944942453
4,10,33.57891352033538,0.047182655605125794,0.21255818363900725
4,11,30.37119801865224,0.042902245024763704,0.22374483625367828
4,12,24.90084253594826,0.11237844984830472,0.06937201100581063
4,13,23.009258456870246,0.0493902816916623,0.2659105713589297
4,14,14.714499958254342,0.08854246623908654,0.1309771508822202
4,15,25.95628288386355,0.0179914178868923,0.3258934550551677
4,16,25.532214920960666,0.1113199292843909,0.1142005460564159
4,17,25.413062201495958,0.02288946537157943,0.3131085417570659
4,18,25.632821771201154,0.024144832860304263,0.3336178548077474
4,19,19.371349671794274,0.09603645275358544,0.1789650776130987
4,20,19.849953389331425,0.056081579215775584,0.2161749559717396
4,21,206.73725520069266,0.9994708444671759,0.3940984488355117
4,22,42.857572591696595,0.00451607141616747,0.3834565161001955
4,23,166.1348063483458,0.4969277082742807,0.43667194499087836
4,24,24.138643295751464,0.039445101806400436,0.28892221347583036
5,0,19.526718258427184,0.12688863164924535,0.07595519621224367
5,1,16.180339417363026,0.09137141042029095,0.11717020765471628
5,2,107.39684397257587,0.18422890575963313,0.4409848555261914
5,3,108.29871458669328,0.1771205883638918,0.4271117262097094
5,4,28.91403136048036,0.08716832608381346,0.1500397051891081
5,5,106.5008790050798,0.16900803408260567,0.457334109670747
5,6,19.870597788492375,0.08174686987895602,0.17489269752546271
5,7,20.653057428358906,0.09474984227599116,0.16218950391941322
5,8,24.673957998336313,0.04343077296929766,0.24203483133263795
5,9,27.620770600425093,0.12884499425797322,0.03449090307757561
5,10,26.426000214495435,0.04694954570434393,0.22471155642572266
5,11,28.567511434886885,0.04146881011333192,0.229983032635176
5,12,21.900969009347833,0.12453575457488818,0.05072907298683897
5,13,24.875838488857305,0.043855946836742515,0.2677853163096467
5,14,25.020961956106152,0.09409398662705255,0.12122477306650978
5,15,25.86943573488814,0.016707512656360786,0.3431708853579209
5,16,19.801241142558663,0.11669735647532929,0.09632516564314869
5,17,27.550777395433904,0.016404492306930203,0.3211669402553984
5,18,28.150593057076396,0.01578176676756405,0.341394096294548
5,19,19.58927847473176,0.101576194256234,0.1651157238564773
5,20,31.332991643344357,0.060854838254589885,0.20565287868067517
5,21,193.52493812348595,0.811576747444986,0.4093631791833167
5,22,31.318685564486763,0.0005824711044308591,0.39205931679385786
5,23,129.81795509495583,0.24692770827428068,0.45909593543223653
5,24,22.965506489876418,0.04439888668793449,0.27552837569597693
6,0,20.12108938908108,0.12339189095797738,0.0834263489740892
6,1,40.19674500461521,0.08288320231161769,0.1283111929248391
6,2,104.86143157260298,0.19050149052991974,0.4281727209858634
6,3,113.49059960415879,0.18272882674307747,0.4209040530903273
6,4,23.876133055809714,0.08567920805039843,0.16159050967740055
6,5,98.07930135430182,0.1770057967696141,0.44009822017511685
6,6,19.634682173186217,0.08567136777516841,0.17871756052444715
6,7,25.89093249955074,0.09272666217187558,0.16811826729811938
6,8,22.3869945556157,0.03699338195211321,0.2538014654352595
6,9,25.39695304718967,0.13196998911646726,0.028158077644462556
6,10,24.585872594320453,0.04676305778371845,0.234434254655095
6,11,28.271185207842645,0.0413255175650878,0.23391037500125092
6,12,23.081974559808422,0.13426159835615495,0.03581472257166164
6,13,22.612949892715154,0.03959318181372137,0.2700474658943267
6,14,19.59357190592523,0.09762741926288948,0.11321370482135636
6,15,30.991710244945402,0.015680388471935574,0.35699282960012346
6,16,22.177801073109244,0.12487442919826551,0.081497923915142
6,17,25.74621837725167,0.01121651385521082,0.3276136590540644
6,18,31.186198884278113,0.009406892738521749,0.34769932250603225
6,19,19.733645799490336,0.10600798745835285,0.15403624085118017
6,20,29.74262532583613,0.0629122699929421,0.1985206119411106
6,21,190.00713943770953,0.6246342318761379,0.43783338011607786
6,22,206.52343371325668,0.9975957387309273,0.39534987265892463
