theta,r
-1.5525968418361418,173.61516124825965
-1.5525870132571358,173.5901713971673
-1.5525771740577776,173.56518047648356
-1.552026758618362,173.46059155008268
-1.5514862039862973,173.40585544049736
-1.5514757589742991,173.38121250664818
-1.5514653026579996,173.35656887697277
-1.5509134140256708,173.3255513357983
-1.5509026418631346,173.30121355759456
-1.5503498620436134,173.20296270314265
-1.5503387727088118,173.17762269463503
-1.550327671340351,173.15228123200959
-1.5497736916579932,172.33729470134816
-1.5492308377897923,172.94883779887408
-1.5492191228419954,172.9996696908998
-1.5492073951615162,172.93974615831294
-1.5486519285235396,171.21717092996093
-1.5480958709133676,171.8546503495255
-1.5480835129737813,171.79274424076803
-1.5480711415740642,171.73079684509798
-1.5475138726127975,172.3106392756149
-1.546956010191168,171.80753813610173
-1.5469430038484013,171.87192651782922
-1.5463842356644366,171.1052798602489
-1.5463709030760986,171.06918119690462
-1.5458112268835087,170.81699800735117
-1.5457975666790462,170.82069312073054
-1.5457838915325322,170.82441852808034
-1.5452229910280102,172.06063340377915
-1.5446757959548068,171.5600583657785
-1.5441140132653866,171.2384089749604
-1.544099394005435,171.2424805162401
-1.5440847587207067,171.2465828279015
-1.5435217446263703,171.27210670617404
-1.542958129594091,171.53419830893262
-1.5429428441505102,171.56215664961147
-1.5429275419161421,171.59017206560299
-1.5423626888982058,170.33080845121512
-1.541813172110401,170.70967614378293
-1.5417972324124352,170.60719345870638
-1.5417812751772177,170.50431923957368
-1.5412148945319633,171.5930653043017
-1.5411985992826744,171.50344983262568
-1.5406312921807466,171.0113062125712
-1.540614657497029,170.97093702333584
-1.5405980044621828,170.93056711261798
-1.540029446090018,171.05632766553111
-1.539477577881384,171.21493830049525
-1.5394602791569953,171.17466995625682
-1.5394429613186167,171.13438363653614
-1.538872860998045,170.6863241501142
-1.5383021502275067,169.91471809779406
-1.538284163395434,169.8127269807062
-1.5382661566464928,169.71064950384368
-1.5376941825738892,170.3579984978322
-1.5371215954812611,170.8902727808914
-1.5371029147452349,170.81675810612387
-1.536529385985725,169.23329602363538
-1.5359552423063505,168.84294510845422
-1.5359358833358971,168.81755496003362
-1.5359165028491208,168.79216326655217
-1.5353410837110217,168.6874856939114
-1.5353213511404085,168.66123765209784
-1.5347449832772968,168.5777617485634
-1.534188392299596,168.54682173302922
-1.5341679966081831,168.5224649564347
-1.534147578187831,168.49810778225475
-1.5335696391267581,168.40819990146142
-1.5335280668495566,168.3568764611945
-1.5329910793458403,168.3330458984173
-1.5329488385884065,168.2820464103846
-1.5323689876102362,168.18087465344712
-1.5318103164113623,168.121324692417
-1.5317885133008524,168.0965031034146
-1.5317666858021024,168.07168888540008
-1.5311852506443397,168.02647535851918
-1.5311630614232636,168.00164791399055
-1.530580663018722,167.93762786666943
-1.530558110553989,167.9120618816234
-1.5305355327944323,167.88649414017883
-1.5299518292611847,167.79184230880512
-1.529390754556451,167.7359273839845
-1.5293674971408928,167.7100946521889
-1.5287825358173055,167.61959531817135
-1.5287589109955566,167.59295582759253
-1.5281729778680295,167.5080539494464
-1.528148984094779,167.48286502451145
-1.528124963309303,167.45767476109424
-1.5275377124583172,167.37492841162117
-1.52694982843148,167.3024346050778
-1.5269250920923776,167.2765028475747
-1.526336228956558,167.22164634630718
-1.5257467306970682,167.1225801772624
-1.5257212742961217,167.09627226476425
-1.5256957891288772,167.06996345370226
-1.5251049604223066,167.000724337066
-1.5250790984755846,166.97494057541738
-1.5244872832935528,166.89778645782047
-1.5238948289807048,166.81108321257625
-1.5238682388545624,166.78579319433499
-1.5232747942558595,166.72866339474385
-1.5232208212069254,166.64942512812962
-1.5226807085653076,166.6146711101916
-1.5226260317557272,166.56066657242027
-1.5220305991419618,166.51098287662825
-1.521434522744755,166.4081272936699
-1.5214064305594341,166.38105399204272
-1.5208093550693456,166.3031907454095
-1.5202116338250555,166.23392474180577
-1.520182798722467,166.20772939837846
-1.5201539307551521,166.18153155283716
-1.5195548495656166,166.1125437904602
-1.5189551199130027,166.01422132153218
-1.5189255034462656,165.98759432290356
-1.518324765814719,165.94694109100874
-1.5182947561978157,165.921906186596
-1.5176930080615592,165.81889241541163
-1.5176626036395544,165.79160258436238
-1.5176321644141935,165.76430898753432
-1.5170290415766123,165.67445947250047
-1.5164252648257415,165.59672534018597
-1.5163940657999184,165.56936235869475
-1.515789270925181,165.5106749916825
-1.5151838201443042,165.4077173280644
-1.515151856533852,165.38028723452402
-1.5151198561977244,165.35285319989433
-1.5145130174071386,165.24781869629686
-1.5144806138826827,165.22238885736232
-1.5138727492860808,165.16367244437484
-1.513264224658065,165.1053037527939
-1.5126550393744498,165.01937503394078
-1.5126214935080833,164.99179955686333
-1.5125879089531056,164.96421995621034
-1.5119773222181405,164.8813433239959
-1.5119433281511516,164.85578502319368
-1.511331706478926,164.7775749615792
-1.5112973011746922,164.751036524255
-1.5106846419665985,164.67810730463242
-1.5100713165636404,164.59611253078907
-1.509457324340794,164.5200444485934
-1.5094217574067808,164.493985504322
-1.5093861492543206,164.46767277932312
-1.5087707381699396,164.41866303619335
-1.5087347123336399,164.38235562705722
-1.5081182544783258,164.27229354182015
-1.507501125619862,164.21511286176172
-1.5074643019424323,164.18945977570917
-1.5068461222837386,164.0815588116335
-1.5068088761579914,164.0536580190724
-1.5067715866802278,164.02575384155142
-1.5061519727059325,163.9561462786739
-1.5055316835215917,163.87640841412187
-1.5049107185010155,163.79937049859424
-1.5048722392283262,163.77259706052627
-1.5042502140602843,163.7019854053046
-1.504211305723966,163.6747033777011
-1.5041723519303745,163.64741751571773
-1.5035488785376172,163.55275722916278
-1.5029247250774584,163.4664696469355
-1.5028849531833979,163.43835030198176
-1.5022597315642858,163.3930810996495
-1.5016338278357737,163.30283594732563
-1.5015932326975165,163.27543964195587
-1.5015525899526254,163.24803935375976
-1.5009252239539892,163.17644536166276
-1.5008841430289825,163.14986199302604
-1.500255700795416,163.07886817340264
-1.5002141798432038,163.0519255392947
-1.49958465866834,162.9923400014265
-1.4989544496953042,162.85794723225962
-1.4988696864241218,162.80027072824487
-1.4983235522976888,162.76971897832289
-1.498237999218743,162.71773533987033
-1.4976488190378556,162.70480024075636
-1.497016146649054,162.63684723367544
-1.4969725522077684,162.60841291173608
-1.4963387911495947,162.520890643236
-1.4957043375559957,162.44496010624076
-1.4956598947306883,162.41731198422139
-1.4950243482981722,162.35422582270465
-1.4943881072719885,162.27301567514337
-1.494342810739452,162.244441715705
-1.4937054726925423,162.16839624069814
-1.4930674379919586,162.0738610421761
-1.493021282398463,162.0485040935318
-1.492382146483146,162.00579925922645
-1.4917423118524755,161.9011172393502
-1.4911017778847937,161.79757480206362
-1.4904605439593779,161.727364113675
-1.4904127109319465,161.70009206304468
-1.4897703687024386,161.6506966218381
-1.48972207056342,161.6247153219469
-1.4890786172508226,161.5126654654759
-1.4884344604750952,161.43080511491866
-1.4883852848631893,161.40386195812903
-1.4877400127718143,161.334190418255
-1.4870940351521846,161.26566924885566
-1.487043976579819,161.2367242197057
-1.4863968794001141,161.1374420494766
-1.4857490746257813,161.06315014623783
-1.4851005616401602,161.00766761601957
-1.4844513398276238,160.92276817958
-1.4843995607308513,160.89369388966497
-1.4837492122004023,160.81402284412215
-1.483098152777815,160.75295000006483
-1.4830454752454985,160.72750164601197
-1.4823932848327224,160.64727899220122
-1.4817403814616386,160.567318233882
-1.481686799891219,160.53945581592023
-1.4810327612461447,160.48934292805936
-1.4809786930904054,160.45936379683
-1.4803235163331685,160.32912708672686
-1.4796676230935435,160.27418730347574
-1.4796126418368198,160.2480458987718
-1.4789556061804365,160.17300296911668
-1.4782978519719228,160.0975058074598
-1.4776393786019681,160.0396151941896
-1.4769801854624234,159.971781456139
-1.4769234294227058,159.9423376401504
-1.4762630866287463,159.8562378184679
-1.4756020219977501,159.7855336380427
-1.4755443369320353,159.75888887963544
-1.4748821183157603,159.69551009486045
-1.4742191757946517,159.61089025010963
-1.474160555931085,159.5813151100703
-1.4734964550828256,159.46304574726233
-1.472831628261699,159.40608201809806
-1.4727720677963794,159.37984408890628
-1.472106078295324,159.2755222311373
-1.471439360753249,159.21535788447665
-1.470771914569392,159.17241614524215
-1.4707109692645417,159.14379962806396
-1.4700423545697845,159.05814868153828
-1.4693730091667876,158.97744811398215
-1.4693111092480173,158.94920021397166
-1.4686405909582676,158.89629332718272
-1.4679693398939992,158.789965165777
-1.4679064794499,158.76009480609565
-1.467234051112504,158.66268759854182
-1.4665608879346128,158.57651992570976
-1.4664970610213193,158.5485326887757
-1.4658227161735176,158.49490662858048
-1.4652123546821572,158.42387865349764
-1.4651476344196717,158.39388927084062
-1.465082835060769,158.36389447454354
-1.4644065672299376,158.28789062823142
-1.4637952578262856,158.26458964650678
-1.4637295604280693,158.23652522666356
-1.4630518140648843,158.16795036975378
-1.4623733275515296,158.10397304039066
-1.462306646986953,158.0622443857452
-1.461626967031907,157.98072669720983
-1.461559751423947,157.9526018034377
-1.4608788750721398,157.91814932790024
-1.4601972550353282,157.80061656404064
-1.4601290464804713,157.77039530080123
-1.4594462256085448,157.70430964567805
-1.4588317815694292,157.67704139932547
-1.4587626589912268,157.65011740683843
-1.4586934513711307,157.62318981753108
-1.4580086794706222,157.5363554989837
-1.4573932861918917,157.48199821951613
-1.4573231597654888,157.45165847904354
-1.4566368916754606,157.37619645395503
-1.45594987462182,157.3256912904971
-1.4558787381742648,157.29865675884125
-1.455190508425185,157.22173434687755
-1.4545015276591982,157.1685109376827
-1.4544293749844426,157.13936332966932
-1.453739177054193,157.0597968829414
-1.4530482260553106,156.9933146733011
-1.4529750509141317,156.96551957265032
-1.452282878273007,156.91393359412055
-1.4522091439243332,156.88471298525738
-1.4515157466331607,156.81264755764525
-1.450896267064978,156.800655862427
-1.4508215927441617,156.77376428858295
-1.450746825797889,156.74592138712924
-1.4500514427635893,156.6978330578397
-1.449431012898516,156.6514244105169
-1.4493553010827207,156.62072596320937
-1.4486584001889307,156.58322799218098
-1.447960739517581,156.52250698336462
-1.4478839838568076,156.49314108924887
-1.4471850865764961,156.43634968855645
-1.4464854274773737,156.3418833838008
-1.4464076215881512,156.31437470681925
-1.4457067213665722,156.28347905408614
-1.445005057287326,156.22991103294072
-1.4443026287930616,156.15011777500152
-1.4442232850291434,156.12358765774192
-1.443519609411674,156.07215147203524
-1.4428954763390938,156.03824042889917
-1.4428151673457743,156.0072688309633
-1.442734757989257,155.97628852154187
-1.4420290642700424,155.91327710955358
-1.4413226020717762,155.8385555880624
-1.4412411206276166,155.81293714227087
-1.440533402238046,155.74735814149486
-1.439824913341758,155.69297147910248
-1.4397423532811906,155.67039689087437
-1.4390326036479042,155.60091711914538
-1.4383220814833577,155.50980277359835
-1.4382384362438376,155.48173158588244
-1.4375266487890719,155.42475044434397
-1.4368140867817967,155.34988538644492
-1.436100749681826,155.31634706051346
-1.4360155179088858,155.28976967863395
-1.435300909480533,155.23674764195707
-1.4346717480529685,155.19024309426928
-1.4345855239450063,155.1621135248816
-1.4344991912132248,155.13397875443428
-1.4337825297819289,155.0777966974984
-1.4331524194149887,155.03977750684703
-1.4330650892327015,155.00996130698545
-1.4329776488671886,154.98013777027955
-1.4322589278479352,154.8929578334095
-1.4315394257038923,154.82076924512864
-1.4314508709957905,154.79190661252727
-1.4307300838007908,154.75738305669228
-1.4300085134782254,154.68861970739567
-1.4292861595037276,154.59743376710472
-1.429195977723739,154.56949075991824
-1.4284723326367363,154.53398345569752
-1.4278390985121396,154.487347144075
-1.4277479019029564,154.45738132883116
-1.427656589661762,154.4275819935111
-1.4269308632225899,154.36481252156386
-1.426296681423108,154.34694436756203
-1.4262043491463332,154.32083024750807
-1.4261118996223277,154.29185662952136
-1.4253840852418354,154.21761835358816
-1.4247489560257864,154.16435083280766
-1.4246554812386798,154.12628538949076
-1.4245618875761594,154.09800902496144
-1.4238319786641824,154.04799972907566
-1.4231959023231189,154.02778136192347
-1.423101278148886,154.00115843502377
-1.4230065334580182,153.9745321693047
-1.422274523423791,153.9173804267977
-1.4215417198107068,153.84024230825494
-1.4208081221158897,153.77937136648802
-1.4207116994200801,153.75029287845683
-1.419976786123579,153.66221854641074
-1.4193385424812104,153.62724854194735
-1.4192410767792605,153.60545706551198
-1.4191434865185544,153.58299115768762
-1.4184064569534551,153.5209739053043
-1.4177672679640487,153.43994221264006
-1.4176686293800644,153.3960333434266
-1.4175698645516486,153.3609218969079
-1.4168307121336545,153.28984921447767
-1.4161905782423725,153.2267012009283
