-2.500000000000000000e-01,1.500000000000000000e+00
-2.375000000000000167e-01,1.500000000000000000e+00
-2.250000000000000333e-01,1.500000000000000000e+00
-2.125000000000000222e-01,1.500000000000000000e+00
-2.000000000000000666e-01,1.500000000000000000e+00
-1.875000000000000555e-01,1.500000000000000000e+00
-1.750000000000000722e-01,1.500000000000000000e+00
-1.625000000000000888e-01,1.500000000000000000e+00
-1.500000000000001055e-01,1.500000000000000000e+00
-1.375000000000001221e-01,1.500000000000000000e+00
-1.250000000000001388e-01,1.500000000000000000e+00
-1.125000000000001554e-01,1.500000000000000000e+00
-1.000000000000001443e-01,1.500000000000000000e+00
-8.750000000000016098e-02,1.500000000000000000e+00
-7.500000000000017764e-02,1.500000000000000000e+00
-6.250000000000019429e-02,1.500000000000000000e+00
-5.000000000000021094e-02,1.500000000000000000e+00
-3.750000000000022760e-02,1.500000000000000000e+00
-2.500000000000024425e-02,1.500000000000000000e+00
-1.250000000000026090e-02,1.500000000000000000e+00
4.579669976578770729e-16,1.500000000000000000e+00
1.180961388681500690e-02,1.499953512698976033e+00
2.361849565974690271e-02,1.499814044039265992e+00
3.542591343245485996e-02,1.499581608912599950e+00
4.723113531859555320e-02,1.499256222210708200e+00
5.903342949866904887e-02,1.498837901191794053e+00
7.083206442893902333e-02,1.498326672877311250e+00
8.262630872171529417e-02,1.497722568510305274e+00
9.441543134520269387e-02,1.497025626474038917e+00
1.061987014755375602e-01,1.496235888862185837e+00
1.179753887770843973e-01,1.495353405600806429e+00
1.297447631843402227e-01,1.494378230465210455e+00
1.415060952380975123e-01,1.493310424863995900e+00
1.532586558087202788e-01,1.492150054014801608e+00
1.650017164944049541e-01,1.490897190805038353e+00
1.767345492832100018e-01,1.489551911939655415e+00
1.884564270112022433e-01,1.488114301763617364e+00
2.001666229644718242e-01,1.486584448434077999e+00
2.118644113971604181e-01,1.484962447733070956e+00
2.235490670737483865e-01,1.483248399252777849e+00
2.352198658462798242e-01,1.481442410188107628e+00
2.468760841375441661e-01,1.479544591540661980e+00
2.585169995769070472e-01,1.477555061891420829e+00
2.701418904250074693e-01,1.475473943624468154e+00
2.817500362675012249e-01,1.473301366677181701e+00
2.933407173819677638e-01,1.471037464785956761e+00
3.049132154888229418e-01,1.468682379212099987e+00
3.164668130611944519e-01,1.466236255011431622e+00
3.280007941321871345e-01,1.463699244733915661e+00
3.395144435485492052e-01,1.461071504719070324e+00
3.510070478334154642e-01,1.458353198767452952e+00
3.624778943846481694e-01,1.455544494463755001e+00
3.739262723921333853e-01,1.452645566818281830e+00
3.853514719817241474e-01,1.449656594619573413e+00
3.967527851860963573e-01,1.446577764044067349e+00
4.081295050352988230e-01,1.443409265040044520e+00
4.194809265801263121e-01,1.440151294903697199e+00
4.308063459303245191e-01,1.436804054696162680e+00
4.421050613293786014e-01,1.433367752784263427e+00
4.533763721414759695e-01,1.429842601292343307e+00
4.646195799765563961e-01,1.426228819605993570e+00
4.758339876271962532e-01,1.422526630860366348e+00
4.870189002427148806e-01,1.418736265405237340e+00
4.981736242171871942e-01,1.414857957331425498e+00
5.092974684113489303e-01,1.410891947895597243e+00
5.203897429929957852e-01,1.406838482086375297e+00
5.314497607053856321e-01,1.402697812007327682e+00
5.424768356613327569e-01,1.398470193484303792e+00
5.534702846567534085e-01,1.394155889405105597e+00
5.644294259198074926e-01,1.389755166369535111e+00
5.753535804681948473e-01,1.385268297984295849e+00
5.862420708147357828e-01,1.380695561557188311e+00
5.970942223669792881e-01,1.376037241345838602e+00
6.079093620906657058e-01,1.371293625297425489e+00
6.186868199501665000e-01,1.366465008249885482e+00
6.294259275313089930e-01,1.361551688718509512e+00
6.401260195211204707e-01,1.356553972048321288e+00
6.507864322915387634e-01,1.351472167248824130e+00
6.614065054169058211e-01,1.346306590096311595e+00
6.719855802201144535e-01,1.341057560017989037e+00
6.825230013262592044e-01,1.335725403143025014e+00
6.930181151728156408e-01,1.330310449237221526e+00
7.034702715978105036e-01,1.324813034701672887e+00
7.138788223156634638e-01,1.319233499559099076e+00
7.242431225382144344e-01,1.313572190399033834e+00
7.345625294178850240e-01,1.307829457416884056e+00
7.448364036998741389e-01,1.302005657304621034e+00
7.550641081343272276e-01,1.296101150343568875e+00
7.652450091579658942e-01,1.290116303239643214e+00
7.753784752769893318e-01,1.284051486270810560e+00
7.854638787763933427e-01,1.277907076065963876e+00
7.955005940753440141e-01,1.271683452807941483e+00
8.054879994624090100e-01,1.265381002955198841e+00
8.154254754251734072e-01,1.259000116501209687e+00
8.253124064095757051e-01,1.252541189638151975e+00
8.351481791255641607e-01,1.246004622073460411e+00
8.449321843287298517e-01,1.239390819634788476e+00
8.546638151038012943e-01,1.232700191644426457e+00
8.643424686667060541e-01,1.225933153464892289e+00
8.739675446277677118e-01,1.219090123931847014e+00
8.835384468124218849e-01,1.212171527839670304e+00
8.930545815058709147e-01,1.205177793433500844e+00
9.025153592902521726e-01,1.198109354834388407e+00
9.119201932729601445e-01,1.190966649590842419e+00
9.212685009395989999e-01,1.183750121042582482e+00
9.305597023665854728e-01,1.176460215932574105e+00
9.397932220834174233e-01,1.169097386710806097e+00
9.489684872760729695e-01,1.161662089205342419e+00
9.580849296737505849e-01,1.154154784858861360e+00
9.671419837280091913e-01,1.146575938465926425e+00
9.761390884583048821e-01,1.138926020367784675e+00
9.850756856709216303e-01,1.131205504230993641e+00
9.939512219994811604e-01,1.123414869103915414e+00
