theta,r
-1.0855352496627269,214.46379801688568
-1.0851839416904911,214.41970554790086
-1.0841659846213458,214.3756809812731
-1.0835002731116206,214.38252619842575
-1.0824818285888638,214.35429193793243
-1.0821281559142226,214.32247798758402
-1.0811082873121518,214.24301811790468
-1.0800877845803274,214.24914228560812
-1.0797320614953694,214.2191935241639
-1.07871013628592,214.1836662897484
-1.0780448828782858,214.20819002165837
-1.0776875798624341,214.17845581706246
-1.0766643937802993,214.2049633607482
-1.0756405796020927,214.1698234986189
-1.0746161388975772,214.15734927273326
-1.0742559862419885,214.10587865608676
-1.0732301290075001,214.00164353425566
-1.0725653842245781,213.98573801541198
-1.0722036482717336,213.94964544371928
-1.0711765456311815,213.9391306098602
-1.0701488226895197,213.88316758418955
-1.0691204810576032,213.88801704617836
-1.068755885112489,213.86406055862616
-1.0677261332753458,213.8620713797446
-1.0670619482022912,213.83771959925372
-1.0666957658829461,213.78416028203833
-1.0656647845729355,213.7422161188631
-1.0650009600954755,213.695496002549
-1.0639695494260228,213.64037629928595
-1.0636009867865208,213.597891532862
-1.0625681736212473,213.60202822601008
-1.0619049031241234,213.66351256020388
-1.060871670820734,213.63658907541247
-1.060500727078066,213.59691768669217
-1.0594660970541985,213.5599965793363
-1.058803396285194,213.52542291716378
-1.058430864776738,213.48336696110542
-1.0573950319405403,213.4523178980994
-1.0563586002475838,213.4304570002304
-1.055696485001876,213.46368546490953
-1.055321571406961,213.42187523910675
-1.0542839471348726,213.43179800861373
-1.0532457291546191,213.39656782466903
-1.052584215273133,213.39896033665363
-1.0522069191965926,213.3461549633559
-1.0511675189982708,213.31563694294397
-1.0505064148486163,213.34056270362163
-1.0494666336719454,213.33898042379786
-1.0490869548660213,213.31474145117448
-1.048045794442396,213.30978104479897
-1.047004050799063,213.29203171319386
-1.0466222794436921,213.23950628516496
-1.045579159189269,213.19892010613844
-1.0449188209514024,213.25001456836935
-1.0438753383137134,213.27374971198333
-1.043491181494298,213.24229625208847
-1.0424463276455944,213.21495310408523
-1.0417866465798375,213.22762702947284
-1.040741441092347,213.26303882817746
-1.0403548989780023,213.22248431935586
-1.0393083277930304,213.17796465676693
-1.038649319950407,213.19858743743697
-1.0382611878082038,213.1734501586534
-1.0372134808579423,213.18688653207033
-1.0365549307660422,213.2174240154931
-1.0355068902515996,213.1908398397502
-1.035116373433614,213.17646818089347
-1.0340669766631723,213.17167561762602
-1.033409126626188,213.1862953849949
-1.032359407235175,213.1710973702555
-1.0319665063168104,213.1344103430427
-1.030915436486078,213.14695764325074
-1.03025830264818,213.14961510422054
-1.0298638127252735,213.12045524039354
-1.0288116369242297,213.14976150660658
-1.0277589109796534,213.09154207323346
-1.0271025095165975,213.0846677283551
-1.0267056367951117,213.0508020924518
-1.0256518162810215,213.03226830342882
-1.0245974513546354,213.02715832544376
-1.023941798471905,213.0584419791472
-1.0235425439400299,213.02710023387385
-1.0224870959680898,213.0276104446857
-1.021831951155786,213.05423645731443
-1.0207762213074252,213.06056276886028
-1.0203745861097215,213.03252186798233
-1.0193175281189937,212.9274047197489
-1.0182599373623056,212.84889672515186
-1.0178561877089731,212.80386739223053
-1.0167972723588494,212.7904735540661
-1.0161431654167037,212.8288124514942
